Key,text,lang,created_at,created_day,timeonly,created_dateonly,datetime,retweet_count,coordinates,geo,place,retweeted,truncated,user_favourites_count,user_followers_count,user_following,user_friends_count,user_geo_enabled,user_listed_count,user_location,user_statuses_count,user_time_zone,user_screen_name,file,sentiment_score,sentiment
1,I have never eaten Activia yogurt.  Do I shit my pants immediately after consumption or does poopness happen later?,en,Mon Jun 26 17:00:35 ,Mon,17:00:35,6/26/2017,6/26/2017 17:00,0,,,,False,False,29912,615,False,857,True,22,,35228,Eastern Time (US & Canada),aWESome311,jsonfile_activia.json,0.6977419257164001,negative
2,"@gentiandreams @benandjerrys My doc suggested Activia yogurt to get the enzymes moving. And yes, lactose pills.",en,Mon Jun 26 15:29:21 ,Mon,15:29:21,6/26/2017,6/26/2017 15:29,0,,,,False,False,1015,341,False,403,False,23,,23259,Eastern Time (US & Canada),devilayu,jsonfile_activia.json,0.5739762783050537,neutral
3,y did nobody tell me that that activia yogurt shit is basically a laxative t.co/kADUqcMH3p,en,Sun Jun 25 17:15:28 ,Sun,17:15:28,6/25/2017,6/25/2017 17:15,0,,,,False,False,85945,11493,False,763,True,48,,27133,Pacific Time (US & Canada),thugcouture,jsonfile_activia.json,0.8565558791160583,negative
4,@moonsnowbunny ACTIVIA IS THAT YOGURT BRAND . alissa how do u drink yogurt. do they have those yogurt smoothies or… ,en,Sun Jun 25 16:24:29 ,Sun,16:24:29,6/25/2017,6/25/2017 16:24,0,,,,False,True,10252,18,False,71,False,0,,2058,Pacific Time (US & Canada),hooshizzoria,jsonfile_activia.json,0.9340881109237671,neutral
5,"RT @KimsCravings: Fluffy yogurt waffles - packed with nutritional benefits
 @Activia #Probiotics #ActiviaChallenge #ItStartsInside
#AD http…",en,Sun Jun 25 00:13:45 ,Sun,0:13:45,6/25/2017,6/25/2017 0:13,293,,,,False,False,20341,10667,False,8816,True,370,Northwest Arkansas,12588,Pacific Time (US & Canada),thewholecook,jsonfile_activia.json,0.8099979162216187,positive
6,"Safe: 
Yogurt, raw fruit, tacos and derivatives, canned alcoholic drinks, Activia drinkable yogurt, ice cream pops, chai tea, vegan milks.",en,Sat Jun 24 16:11:48 ,Sat,16:11:48,6/24/2017,6/24/2017 16:11,0,,,,False,False,1661,125,False,101,True,0,,1774,Central Time (US & Canada),StarveMeRotten,jsonfile_activia.json,0.7373478412628174,neutral
7,"@tHeONicK All remember the ""not all yogurt has what activia has"" chick.",en,Sat Jun 24 02:42:14 ,Sat,2:42:14,6/24/2017,6/24/2017 2:42,0,,,,False,False,1567,233,False,148,False,11,Jamaica,64803,Eastern Time (US & Canada),sighclaat,jsonfile_activia.json,0.687023401260376,neutral
8,Activia yogurt so good omg 😫🤣,en,Fri Jun 23 05:41:28 ,Fri,5:41:28,6/23/2017,6/23/2017 5:41,0,,,,False,False,441,1806,False,364,True,0,"Mobile, AL",40531,Pacific Time (US & Canada),LastNameGriggs,jsonfile_activia.json,0.9706027507781982,positive
9,"""Son, get me my poop yogurt."" (CC: @Activia) ",en,Fri Jun 23 04:34:30 ,Fri,4:34:30,6/23/2017,6/23/2017 4:34,0,,,,False,False,2175,692,False,1298,True,25,Los Angeles / Wakanda,9454,Pacific Time (US & Canada),paulinesting,jsonfile_activia.json,0.7955277562141418,neutral
10,"@yannamo_ Activia is gross! Try Chobani, that's my fav! And it's Greek yogurt so it's super good for ya",en,Wed Jun 21 18:18:25 ,Wed,18:18:25,6/21/2017,6/21/2017 18:18,0,,,,False,False,36244,1892,False,1514,True,10,"Chicago, IL",18877,Central Time (US & Canada),LiviKnoxxx_,jsonfile_activia.json,0.8098738789558411,positive
